"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(BNB)","Value_OUT(BNB)","CurrentValue @ $524.13/BNB","TxnFee(BNB)","TxnFee(USD)","Historical $Price/BNB","Status","ErrCode","Method"
"0x8fe0e827fe7c5d000de6cda9c486b5500908efa7ae63b59ec0fd4d7f9aaef4c5","13089738","1638316800","2021-12-01 00:00:00","0xec7184a75b1f2511e87780957c209d375856f1ea","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0","0","0","0.003894695","2.04132649035","627.93","","","Swap Exact Tokens For Tokens",""
"0x6237ba685167ca15d52b5fef1f6b99f1048c4b5c25a528446c1123be00076bd7","13089738","1638316800","2021-12-01 00:00:00","0xc8cdce6e0164f2108a3e17f42c6d6483429ffd1d","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0","0","0","0.011668155","6.11563008015","627.93","Error(0)","execution reverted","Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens",""
"0x573fc8135f0f4130381d2fec1522652c76a68d47cb301d89029382ac552a5655","13089738","1638316800","2021-12-01 00:00:00","0x2135bf3ec89b8fd182d087f9a3f00dcc1e4a8228","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0","0","0","0.000641775","0.33637353075","627.93","","","Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens",""
"0x22c7cc464a82bd1c68cbbd0048d93c620f4340ae7fb044a45bc0b8a2d92da295","13089738","1638316800","2021-12-01 00:00:00","0x98a3764c34d94d4895677f1086a6d0689a86b39e","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0","0","0","0.000821195","0.43041293535","627.93","","","Swap Exact Tokens For Tokens",""
"0xed68ca04ee35e2f147b9c9a29a4f23a495f6bfd078b6b25885bb536ef726fc3a","13089738","1638316800","2021-12-01 00:00:00","0xd967e08fcac996de3067331efb32c81f29353513","0x10ed43c718714eb63d5aa57b78b54704e256024e","","3.5","0","1834.455","0.002712245","1.42156897185","627.93","","","Swap Exact ETH For Tokens Supporting Fee On Transfer Tokens",""
"0x763fe6bd5747a624f6272ce147bede683ac091a145307b501ba7923cae2fb469","13089738","1638316800","2021-12-01 00:00:00","0xb38159b1392129a614f5b25e261fa182955d4992","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0","0","0","0.000559315","0.29315377095","627.93","","","Swap Exact Tokens For ETH",""
"0x849d72502e56363e37fce905c27ea1726b28a17e42bc6c2eb3bfa854b3b3e5a4","13089738","1638316800","2021-12-01 00:00:00","0x26b8c6208ddb2127a30f38828b3e9fbbfddaee2b","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0","0","0","0.00118956","0.6234840828","627.93","","","Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens",""
"0x36767cd14fecb578ac172805c46bb9e87bb3b41226e66f42fe17d715989398e7","13089738","1638316800","2021-12-01 00:00:00","0x68961fadffa64c8f3ce99f1c6cf31aefc60524c0","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0","0","0","0.000872385","0.45724315005","627.93","","","Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens",""
"0xa677b48368cdbdc81c3a391e46be07a46a4ebf2e7a626a824d8e849ff75ef6ef","13089738","1638316800","2021-12-01 00:00:00","0x3a835ee7a896ce83a92de530eae7daa0f55bade4","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0.00859471","0","4.5047453523","0.000156505","0.08202896565","627.93","Error(0)","execution reverted","Swap Exact ETH For Tokens",""
"0xe840fcd11c8a782cd93b5dd7d5b2fb25a35f74cd41a17878409dd46ae5ff7221","13089738","1638316800","2021-12-01 00:00:00","0xc8525d9e6cdc9379c7f3bccd74657fe9bc6975e9","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0.0167361","0","8.771892093","0.00104022","0.5452105086","627.93","","","Swap Exact ETH For Tokens Supporting Fee On Transfer Tokens",""
"0x074c416b2fbb161a49795baadd55f926cb177ea18770171815315c38aab36e23","13089738","1638316800","2021-12-01 00:00:00","0x56d4c9f68ce12c7870c124b633b5e3c8f032a8f0","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0","0","0","0.00055305","0.2898700965","627.93","","","Swap Exact Tokens For ETH",""
"0xe205c219c3dc5de98586dfb048c2ea23b7c38af30710fb7e5104230306baac10","13089738","1638316800","2021-12-01 00:00:00","0x54ce51d037efcdba5d36baedd1163eed716cd5f8","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0","0","0","0.000931195","0.48806723535","627.93","","","Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens",""
"0xba9b832a1369e3cdf42bfddc26622d0354bdfd3f39ec210c0cbf73b8d3d4f7b5","13089738","1638316800","2021-12-01 00:00:00","0xb52652d2b726ebeebe0c9fdeb5f32a4501c45670","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0","0","0","0.00094176","0.4936046688","627.93","","","Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens",""
"0x2793285f598ed9e43a57ad7eb36c4e25d9aae83aa6336723a1c65c7c841e3435","13089738","1638316800","2021-12-01 00:00:00","0xc9f9d956c447f4fb4eaff12c3c387856a1fbcf57","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0","0","0","0.000840335","0.44044478355","627.93","","","Swap Tokens For Exact Tokens",""
"0x7023629e410de38a9a57fbd20dcfbe066109019ec98b94ede12869a62866fe8f","13089738","1638316800","2021-12-01 00:00:00","0x2cf92eba861af3be291ac96f9818ae46f84f4e0a","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0","0","0","0.00082075","0.4301796975","627.93","","","Swap Exact Tokens For Tokens",""
"0x5f47c53f55abfd3b67cfb628767521d54683863913b0aedb61a85456c5da2a67","13089738","1638316800","2021-12-01 00:00:00","0x9d638da60f347c872d2ac0876d83d62ea1506f5e","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0.1","0","52.413","0.000628795","0.32957032335","627.93","","","Swap Exact ETH For Tokens Supporting Fee On Transfer Tokens",""
"0x06030c7b0b7bd90bcbd6a1527e7880daa261494dc1721959be76d2c98c2d955b","13089738","1638316800","2021-12-01 00:00:00","0x66c65577213d3218880ecfc723b4a630f168c765","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0.1","0","52.413","0.00089449","0.4688290437","627.93","","","Swap Exact ETH For Tokens",""
"0xca9068f42939c28ae719cd5f13509cb09e5c94fb8bc08b3ce02fb52facabdfb9","13089738","1638316800","2021-12-01 00:00:00","0x6c36d2d483426f00054537c53c147ffdd5e2012f","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0.1","0","52.413","0.000928825","0.48682504725","627.93","","","Swap Exact ETH For Tokens",""
"0x362f52d727d7ff23f35d07661eafd898fcdd25bb630d8acb41e69b62b5b067fb","13089738","1638316800","2021-12-01 00:00:00","0xbebe74d227bda616e0f62abbae14cdbc741a4fd9","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0","0","0","0.00055016","0.2883553608","627.93","","","Swap Tokens For Exact Tokens",""
"0xa52787f55f20bca387fa5e68c8c69ff1e5c57f34f4bcd6f3a5b039648a309ae7","13089738","1638316800","2021-12-01 00:00:00","0xeec1becb68b8605309bcfde4416d79788110a52a","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0","0","0","0.00084174","0.4411811862","627.93","","","Swap Exact Tokens For Tokens",""
"0x3c5115bfa1b3dc7633876044ac8fd7ad7081fbe9601dfb5d5be26ec75ed0b90b","13089738","1638316800","2021-12-01 00:00:00","0x60c7fdd912c471cb8938cc1dafa534cb568b1ba5","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0.94","0","492.6822","0.00061094","0.3202119822","627.93","","","Swap Exact ETH For Tokens",""
"0x20c4d51c6580a2f8536b4a440399cc11539b5a255d1d7b6992ad04737f74dac5","13089738","1638316800","2021-12-01 00:00:00","0xbc7031acff9f5202788d0dd5521592a9d8736945","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0.212255661381293435","0","111.249559799777","0.00513602","2.6919421626","627.93","","","Swap Exact ETH For Tokens",""
"0x1ae0b3674fb96c37e1fd1ec45e31a6ad665250f630b33d74b125af026d2261ca","13089738","1638316800","2021-12-01 00:00:00","0xf5673deb106c662776f716d03881c9f6c3aacbc8","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0","0","0","0.000182485","0.09564586305","627.93","Error(0)","execution reverted","Swap Exact Tokens For Tokens",""
